epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.312,1.0355,2.53846,1.35215,0.65013,0.56919,0.58932,0.40657,1.0647,3.76441,1.23268,0.000368951,0.000368951,0.000368951
2,593.681,1.02367,1.85299,1.32362,0.50638,0.74723,0.65328,0.46953,1.07872,1.84991,1.22126,0.000666096,0.000666096,0.000666096
3,890.22,1.01362,1.54572,1.31876,0.62597,0.74741,0.70327,0.5329,1.01834,1.42963,1.15253,0.000889914,0.000889914,0.000889914
4,1190.67,0.96964,1.30634,1.28444,0.67086,0.82268,0.77471,0.5767,0.98489,1.16866,1.10461,0.000781033,0.000781033,0.000781033
5,1502.83,0.94189,1.17341,1.26035,0.65191,0.80935,0.8009,0.61054,0.97098,1.01461,1.09369,0.000671044,0.000671044,0.000671044
6,1805.32,0.89556,1.04736,1.22882,0.70865,0.83823,0.80972,0.61169,0.97631,0.99641,1.10304,0.000561055,0.000561055,0.000561055
7,2109.08,0.88,0.96049,1.19913,0.73172,0.87414,0.85254,0.64912,0.94862,0.95148,1.07937,0.000451066,0.000451066,0.000451066
8,2408.2,0.8497,0.87081,1.184,0.77818,0.79632,0.84728,0.6499,0.92695,0.94368,1.04407,0.000341077,0.000341077,0.000341077
9,2706.44,0.80194,0.78199,1.15141,0.7838,0.84953,0.87408,0.67079,0.92608,0.91765,1.05926,0.000231088,0.000231088,0.000231088
10,3010.51,0.77937,0.73866,1.12124,0.73092,0.82436,0.84046,0.6644,0.94077,0.87593,1.0489,0.000121099,0.000121099,0.000121099
