epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,39721.3,0.86056,0.86513,1.23937,0.75256,0.76369,0.846,0.65499,0.91462,0.88352,1.12056,0.000957015,0.000957015,0.000957015
16,40816.6,0.85144,0.86722,1.22663,0.73166,0.885,0.87201,0.64989,0.95006,0.80837,1.11549,0.000946016,0.000946016,0.000946016
17,41918.4,0.85293,0.82923,1.22041,0.74025,0.82187,0.84924,0.6394,0.90885,0.84448,1.10558,0.000935018,0.000935018,0.000935018
18,42993,0.84498,0.81713,1.21242,0.76799,0.8648,0.8794,0.66151,0.90656,0.86825,1.09531,0.000924019,0.000924019,0.000924019
19,44069.3,0.82435,0.78568,1.20584,0.74587,0.78325,0.82738,0.63451,0.96394,0.80813,1.15245,0.00091302,0.00091302,0.00091302
20,45147.6,0.83216,0.7775,1.20285,0.84949,0.85306,0.89245,0.67046,0.92111,0.85514,1.0826,0.000902021,0.000902021,0.000902021
21,46213.8,0.8097,0.74868,1.19154,0.73852,0.82511,0.8834,0.67636,0.89793,0.82185,1.07644,0.000891022,0.000891022,0.000891022
22,47279.3,0.79535,0.75112,1.19527,0.80302,0.84223,0.89086,0.67021,0.93534,0.80917,1.12403,0.000880023,0.000880023,0.000880023
23,48340,0.82757,0.74523,1.20504,0.71875,0.85533,0.88867,0.6722,0.89982,0.82399,1.07942,0.000869024,0.000869024,0.000869024
24,49401.2,0.82414,0.76763,1.19712,0.75383,0.78491,0.82312,0.6403,0.87517,0.83915,1.04332,0.000858025,0.000858025,0.000858025
25,52695.1,0.8196,0.72461,1.18164,0.73855,0.89154,0.87971,0.67996,0.87607,0.81149,1.05182,0.000847026,0.000847026,0.000847026
26,54311,0.78556,0.70693,1.18882,0.78551,0.81561,0.87077,0.67963,0.86641,0.79481,1.03927,0.000836027,0.000836027,0.000836027
27,55367.6,0.82233,0.72979,1.19103,0.76049,0.83461,0.87825,0.68826,0.89913,0.80211,1.05996,0.000825029,0.000825029,0.000825029
28,56419.4,0.79762,0.69327,1.17169,0.76025,0.84541,0.89237,0.68803,0.87715,0.79403,1.05319,0.00081403,0.00081403,0.00081403
29,57471.6,0.78688,0.696,1.17317,0.80838,0.87098,0.88969,0.68991,0.87555,0.81255,1.02956,0.000803031,0.000803031,0.000803031
30,58531.3,0.77662,0.67419,1.1709,0.80908,0.83017,0.87371,0.67078,0.89899,0.83978,1.08226,0.000792032,0.000792032,0.000792032
31,59591.2,0.75307,0.64601,1.15266,0.79553,0.87339,0.89329,0.68421,0.88335,0.78747,1.0304,0.000781033,0.000781033,0.000781033
32,60706,0.77478,0.66768,1.16594,0.81955,0.89666,0.90331,0.69945,0.87315,0.76931,1.04423,0.000770034,0.000770034,0.000770034
33,61773,0.76581,0.66206,1.16079,0.78039,0.87058,0.91624,0.70009,0.88592,0.85726,1.04713,0.000759035,0.000759035,0.000759035
34,62827.3,0.74579,0.65409,1.15604,0.80397,0.87706,0.90525,0.69579,0.86847,0.78761,1.04325,0.000748036,0.000748036,0.000748036
35,63890.1,0.75185,0.64667,1.15402,0.82086,0.90063,0.91518,0.71177,0.84719,0.72255,1.02262,0.000737037,0.000737037,0.000737037
36,64957.9,0.75654,0.63697,1.15604,0.83255,0.88901,0.91344,0.70368,0.86168,0.73475,1.01805,0.000726038,0.000726038,0.000726038
37,66931.6,0.74217,0.60484,1.14135,0.8287,0.8104,0.88702,0.69199,0.89203,0.77279,1.03483,0.00071504,0.00071504,0.00071504
38,67977,0.74283,0.61988,1.13934,0.82725,0.89052,0.90328,0.69366,0.90346,0.7364,1.03425,0.000704041,0.000704041,0.000704041
39,73657.7,0.73745,0.62113,1.1382,0.81857,0.90223,0.90906,0.71376,0.85193,0.77845,1.03621,0.000693042,0.000693042,0.000693042
40,74708.5,0.74587,0.60145,1.14643,0.86026,0.87456,0.90609,0.72323,0.85558,0.72736,1.00702,0.000682043,0.000682043,0.000682043
41,75754.4,0.7304,0.59199,1.13506,0.85196,0.8823,0.9068,0.71564,0.84557,0.70896,1.00653,0.000671044,0.000671044,0.000671044
42,76811.6,0.72355,0.57956,1.13048,0.78532,0.88392,0.88941,0.68778,0.86666,0.76268,1.01582,0.000660045,0.000660045,0.000660045
43,77855.8,0.70079,0.57883,1.12184,0.84208,0.8852,0.8893,0.69065,0.88511,0.7463,1.03304,0.000649046,0.000649046,0.000649046
44,78894.8,0.69503,0.58359,1.1209,0.87678,0.88786,0.91841,0.7065,0.85657,0.73341,1.02393,0.000638047,0.000638047,0.000638047
45,79937.8,0.70332,0.5712,1.12313,0.80579,0.87309,0.89837,0.70765,0.84178,0.71072,0.98797,0.000627048,0.000627048,0.000627048
46,80979,0.69949,0.55567,1.11916,0.79949,0.86489,0.8943,0.6931,0.88977,0.79509,1.01714,0.000616049,0.000616049,0.000616049
47,82023.5,0.69059,0.55558,1.12003,0.86259,0.86016,0.92279,0.73086,0.83448,0.71472,0.99271,0.000605051,0.000605051,0.000605051
48,83067.7,0.69961,0.55549,1.11643,0.8437,0.81455,0.89458,0.69983,0.84037,0.78016,0.98981,0.000594052,0.000594052,0.000594052
49,84317.5,0.7033,0.5476,1.1154,0.83539,0.85675,0.91031,0.70038,0.86728,0.70975,1.01499,0.000583053,0.000583053,0.000583053
50,85653.9,0.69617,0.54393,1.10924,0.86967,0.89676,0.93005,0.72762,0.86017,0.68021,1.0069,0.000572054,0.000572054,0.000572054
51,86694.2,0.69626,0.54317,1.10754,0.81141,0.84974,0.90313,0.70746,0.87644,0.72882,0.99917,0.000561055,0.000561055,0.000561055
52,87911.7,0.6828,0.53644,1.1078,0.82233,0.8711,0.90529,0.71051,0.85089,0.72522,0.99053,0.000550056,0.000550056,0.000550056
53,90837.7,0.69705,0.52647,1.11473,0.83234,0.89625,0.90666,0.69737,0.85507,0.7248,1.01173,0.000539057,0.000539057,0.000539057
54,95156.4,0.69561,0.51896,1.10943,0.84445,0.86979,0.91454,0.72329,0.86185,0.70242,0.99366,0.000528058,0.000528058,0.000528058
55,97843.3,0.66189,0.50087,1.09802,0.8172,0.87082,0.88642,0.71186,0.83869,0.71304,0.97932,0.000517059,0.000517059,0.000517059
56,104580,0.67084,0.50648,1.09145,0.85594,0.89333,0.92561,0.7317,0.83451,0.66472,0.96984,0.00050606,0.00050606,0.00050606
57,106109,0.67161,0.51206,1.09647,0.88308,0.87199,0.92509,0.72714,0.8605,0.67788,0.99814,0.000495062,0.000495062,0.000495062
58,108946,0.65942,0.50151,1.08563,0.82837,0.88674,0.90697,0.71697,0.8704,0.71133,0.99251,0.000484063,0.000484063,0.000484063
59,112148,0.66564,0.49522,1.09163,0.83847,0.89826,0.92395,0.70136,0.88759,0.75377,1.00702,0.000473064,0.000473064,0.000473064
60,114298,0.65872,0.49209,1.08823,0.81515,0.87624,0.89091,0.69687,0.85906,0.76352,1.00204,0.000462065,0.000462065,0.000462065
61,116231,0.64504,0.47512,1.08218,0.86664,0.90735,0.91728,0.72406,0.83441,0.71285,0.9889,0.000451066,0.000451066,0.000451066
62,117430,0.65123,0.46612,1.08699,0.85163,0.87507,0.91315,0.73014,0.85486,0.68965,1.01337,0.000440067,0.000440067,0.000440067
63,121001,0.65576,0.48253,1.07635,0.84365,0.88106,0.91039,0.7261,0.85391,0.68847,0.997,0.000429068,0.000429068,0.000429068
64,122040,0.64842,0.47121,1.07632,0.88091,0.90682,0.92826,0.72706,0.84004,0.68144,0.9963,0.000418069,0.000418069,0.000418069
65,123077,0.63892,0.4654,1.08024,0.89068,0.89698,0.93395,0.73894,0.81967,0.65731,0.97095,0.00040707,0.00040707,0.00040707
66,124113,0.6526,0.47629,1.08259,0.87368,0.90416,0.93704,0.73875,0.82973,0.64538,0.97137,0.000396071,0.000396071,0.000396071
67,125152,0.64428,0.47242,1.0743,0.85324,0.89616,0.92288,0.73599,0.83921,0.71666,0.98646,0.000385073,0.000385073,0.000385073
68,126192,0.62699,0.45495,1.07892,0.84396,0.90167,0.91963,0.72558,0.82732,0.69402,0.99523,0.000374074,0.000374074,0.000374074
69,127231,0.63138,0.44596,1.07802,0.85504,0.89993,0.9205,0.73502,0.83298,0.68514,0.99302,0.000363075,0.000363075,0.000363075
70,128270,0.62361,0.44714,1.07553,0.86282,0.91288,0.92984,0.7399,0.83551,0.68489,0.99043,0.000352076,0.000352076,0.000352076
71,129308,0.61774,0.43857,1.0765,0.87564,0.88031,0.92221,0.74312,0.83658,0.73517,1.01731,0.000341077,0.000341077,0.000341077
72,130346,0.61846,0.43407,1.06854,0.86142,0.88663,0.92564,0.73982,0.83325,0.66487,0.98939,0.000330078,0.000330078,0.000330078
73,131386,0.62849,0.43966,1.06937,0.87034,0.86408,0.92203,0.73432,0.82728,0.72956,0.98143,0.000319079,0.000319079,0.000319079
74,132441,0.62435,0.4367,1.06838,0.88956,0.9069,0.93171,0.73754,0.83535,0.6665,0.96469,0.00030808,0.00030808,0.00030808
75,133480,0.61215,0.41722,1.06274,0.89568,0.89075,0.92781,0.7375,0.83693,0.66683,0.95802,0.000297081,0.000297081,0.000297081
76,134534,0.60276,0.41658,1.051,0.88889,0.9053,0.93332,0.74245,0.82487,0.67872,0.9686,0.000286083,0.000286083,0.000286083
77,135586,0.59361,0.4174,1.05538,0.90112,0.89634,0.92897,0.74538,0.83525,0.64461,0.98185,0.000275084,0.000275084,0.000275084
78,136863,0.59343,0.40901,1.06126,0.89781,0.89829,0.93283,0.74616,0.83738,0.64386,0.97754,0.000264085,0.000264085,0.000264085
79,138740,0.6002,0.40588,1.05738,0.88155,0.8958,0.92589,0.73419,0.85033,0.67384,1.01311,0.000253086,0.000253086,0.000253086
80,139784,0.59738,0.41099,1.05864,0.89847,0.90376,0.93595,0.74354,0.82466,0.61668,0.99104,0.000242087,0.000242087,0.000242087
81,140824,0.5898,0.39858,1.05508,0.87522,0.87895,0.92183,0.73781,0.83187,0.67646,0.99491,0.000231088,0.000231088,0.000231088
82,141859,0.58982,0.39477,1.05214,0.91799,0.89086,0.93687,0.74834,0.82462,0.64998,0.9929,0.000220089,0.000220089,0.000220089
83,142901,0.5894,0.39829,1.0518,0.86924,0.88965,0.93079,0.74536,0.83987,0.68215,0.97661,0.00020909,0.00020909,0.00020909
84,143949,0.59595,0.39273,1.05278,0.8929,0.89371,0.92833,0.74113,0.83928,0.66502,0.97834,0.000198091,0.000198091,0.000198091
85,144989,0.57142,0.3761,1.04043,0.89013,0.87077,0.92766,0.74276,0.83819,0.68763,0.96979,0.000187092,0.000187092,0.000187092
86,146033,0.56368,0.37446,1.0416,0.91685,0.89928,0.93599,0.74928,0.83531,0.63368,0.98701,0.000176094,0.000176094,0.000176094
87,147072,0.55413,0.3694,1.034,0.91172,0.87934,0.92682,0.74525,0.8511,0.62979,0.9791,0.000165095,0.000165095,0.000165095
88,148134,0.57269,0.37207,1.03904,0.88673,0.91645,0.93383,0.74566,0.83632,0.66321,0.96303,0.000154096,0.000154096,0.000154096
89,149227,0.56281,0.36537,1.0342,0.90011,0.91271,0.93709,0.75164,0.82624,0.62967,0.95797,0.000143097,0.000143097,0.000143097
90,150305,0.57092,0.3738,1.02528,0.87709,0.91694,0.93255,0.7501,0.83217,0.64114,0.95931,0.000132098,0.000132098,0.000132098
91,151378,0.53338,0.313,0.99916,0.92171,0.89193,0.93655,0.75362,0.82909,0.66558,0.97617,0.000121099,0.000121099,0.000121099
92,152462,0.52836,0.30945,1.01176,0.9098,0.90276,0.93434,0.74582,0.83067,0.68741,0.97539,0.0001101,0.0001101,0.0001101
93,153544,0.53912,0.29837,1.01076,0.89872,0.90889,0.93545,0.74546,0.8298,0.67716,0.97221,9.91012e-05,9.91012e-05,9.91012e-05
94,154609,0.5316,0.29132,1.008,0.89771,0.89502,0.9255,0.7396,0.84619,0.67341,0.98394,8.81023e-05,8.81023e-05,8.81023e-05
95,155657,0.52684,0.28546,1.00136,0.89889,0.90979,0.93639,0.75051,0.82937,0.6549,0.96525,7.71034e-05,7.71034e-05,7.71034e-05
96,159259,0.51349,0.27509,0.98899,0.90468,0.90213,0.92838,0.744,0.82223,0.64834,0.95205,6.61045e-05,6.61045e-05,6.61045e-05
97,160301,0.50403,0.27125,0.9958,0.90751,0.90319,0.93135,0.75079,0.82288,0.65877,0.95119,5.51056e-05,5.51056e-05,5.51056e-05
98,161340,0.5099,0.27817,0.99616,0.89535,0.90917,0.93115,0.7496,0.82746,0.65838,0.95385,4.41067e-05,4.41067e-05,4.41067e-05
99,162378,0.50266,0.26611,0.98291,0.89783,0.91127,0.93105,0.7491,0.82009,0.64736,0.94961,3.31078e-05,3.31078e-05,3.31078e-05
100,163414,0.5022,0.26788,0.98299,0.89883,0.90837,0.92873,0.74941,0.82536,0.66097,0.954,2.21089e-05,2.21089e-05,2.21089e-05
