epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1154.63,1.03838,1.71914,1.38166,0.54619,0.57674,0.48228,0.34519,1.07,1.82822,1.28346,0.000368951,0.000368951,0.000368951
2,3607.57,1.10823,1.41276,1.4155,0.5423,0.61227,0.54938,0.36767,1.17509,1.82443,1.41976,0.000731966,0.000731966,0.000731966
3,8553.45,1.09391,1.38968,1.40443,0.70562,0.50252,0.56054,0.39172,1.18048,1.59425,1.43651,0.00108765,0.00108765,0.00108765
4,10823.8,1.0482,1.29906,1.37961,0.59426,0.80107,0.69511,0.50502,1.03587,1.29773,1.24112,0.001078,0.001078,0.001078
5,19360.5,1.01049,1.23664,1.35695,0.55058,0.81069,0.76177,0.52875,1.02195,1.16459,1.18205,0.001067,0.001067,0.001067
6,21362.6,1.00644,1.19683,1.32493,0.76869,0.66615,0.74181,0.55339,0.95513,1.05754,1.14866,0.00105601,0.00105601,0.00105601
7,22636.5,0.95636,1.10268,1.29865,0.56921,0.77846,0.7665,0.56398,0.98849,1.01462,1.187,0.00104501,0.00104501,0.00104501
8,29179.1,0.93981,1.03068,1.28701,0.731,0.78282,0.82752,0.60992,0.99607,0.94447,1.20983,0.00103401,0.00103401,0.00103401
9,33484.4,0.95068,0.98453,1.28626,0.74118,0.62482,0.73445,0.56198,0.98149,1.11518,1.15846,0.00102301,0.00102301,0.00102301
10,34527.7,0.91346,0.99652,1.26653,0.56113,0.71339,0.72152,0.56082,0.96587,0.91594,1.11706,0.00101201,0.00101201,0.00101201
11,35562.2,0.89916,0.95448,1.25449,0.7123,0.82119,0.80564,0.60858,0.94339,0.95846,1.11876,0.00100101,0.00100101,0.00100101
12,36597.3,0.89633,0.91987,1.2507,0.75756,0.77363,0.79374,0.61092,0.96117,0.95469,1.13804,0.000990012,0.000990012,0.000990012
13,37635.2,0.87201,0.92041,1.26176,0.73981,0.80602,0.84704,0.62935,0.917,0.90523,1.12077,0.000979013,0.000979013,0.000979013
14,38667.2,0.87697,0.86603,1.23821,0.71448,0.82226,0.81405,0.62135,0.902,0.90328,1.092,0.000968014,0.000968014,0.000968014
