epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1038.86,1.02148,2.24166,1.29223,0.28829,0.47158,0.25158,0.14096,1.08654,6.00062,0.85753,0.0671231,0.00033209,0.00033209
2,5156.22,1.05936,2.16193,1.30705,0.35315,0.18587,0.13864,0.07633,1.09023,5.4894,0.88885,0.0341165,0.000658835,0.000658835
3,6241.8,1.06644,2.13762,1.31054,0.56767,0.18821,0.18358,0.12915,1.01075,4.73341,0.79418,0.00110336,0.000978981,0.000978981
4,7400.36,1.00901,2.1446,1.28766,0.40465,0.24005,0.20172,0.11979,0.9689,4.79996,0.77439,0.0009703,0.0009703,0.0009703
5,8534.58,0.9716,2.08162,1.26183,0.58364,0.23419,0.23739,0.17638,0.92834,4.09388,0.7221,0.0009604,0.0009604,0.0009604
6,9696.15,0.99727,2.08022,1.25644,0.52796,0.20749,0.19975,0.14661,0.93201,4.3176,0.73049,0.0009505,0.0009505,0.0009505
7,10880.7,0.96128,2.06865,1.23994,0.6126,0.24091,0.26208,0.19355,0.91315,4.42809,0.72557,0.0009406,0.0009406,0.0009406
8,12207.8,0.94819,2.02178,1.22322,0.52905,0.21131,0.23924,0.16984,0.87915,4.20646,0.67748,0.0009307,0.0009307,0.0009307
9,13526.5,0.9449,1.97419,1.20219,0.62224,0.21852,0.23024,0.17736,0.91666,4.42404,0.67812,0.0009208,0.0009208,0.0009208
10,14833.7,0.91239,2.00097,1.19479,0.62964,0.27654,0.29992,0.22858,0.87587,4.32148,0.66661,0.0009109,0.0009109,0.0009109
11,16182.8,0.90352,1.94069,1.18508,0.38513,0.27636,0.26391,0.20103,0.91452,4.52282,0.68379,0.000901,0.000901,0.000901
12,17554.6,0.91175,1.96473,1.18818,0.61489,0.24489,0.30948,0.22744,0.90819,4.75764,0.70523,0.0008911,0.0008911,0.0008911
13,18879.6,0.88121,1.95349,1.18842,0.67549,0.11667,0.23528,0.17462,0.89232,4.5058,0.6741,0.0008812,0.0008812,0.0008812
14,20217.6,0.88532,1.93978,1.17801,0.48033,0.26576,0.26813,0.19632,0.88591,4.72017,0.70659,0.0008713,0.0008713,0.0008713
15,21553.7,0.87587,1.9353,1.16764,0.6263,0.30635,0.33869,0.25377,0.86554,4.2779,0.66917,0.0008614,0.0008614,0.0008614
16,22898.6,0.85511,1.9235,1.17175,0.63674,0.2539,0.28891,0.21417,0.88011,4.50601,0.6904,0.0008515,0.0008515,0.0008515
17,24251.3,0.88702,1.8889,1.16522,0.50509,0.27872,0.3269,0.23936,0.90811,4.68306,0.66221,0.0008416,0.0008416,0.0008416
18,25572.8,0.86948,1.89964,1.16229,0.56899,0.27023,0.3168,0.23249,0.85965,4.51508,0.66228,0.0008317,0.0008317,0.0008317
